영화제목,아이디,평점,댓글
모가디슈,j030****,10,
모가디슈,pcwl****,9,영화 오랜만에 재밌게 잘봤습니다 근데좌파영화인가요? 멀쩡한 대학생 빨갱이 만들었다 이런 대사가 있던데
모가디슈,smas****,8,"하...답 안 나오는 조인성, 대사 부인 연기"
괴기맨숀,jihy****,10,대박. 오랜만에 소름돋았다
방법: 재차의,ebsp****,8,진짜  꼭 보세요   재미있습니다
노매드랜드,rose****,10,"""집은 안식처인가 허상인가""극중 대사가 울림처럼 시작된 영화 초반,,역시 아카데미 최고상을 받을만한 작품이다 싶은 생각이 들었네요.경제붕괴, 부동산문제 등 사회문제를 던지며 노매드의 삶을 풀어낸 개념작!! 이게 미국만의 문제는 아닌듯 싶습니다.전 세계의 흐름이 될런가싶어,,씁쓸하기도....다양한 노매드들의 사연을 들어보며 나의 삶에 대해서도 생각하게 됩니다. 주인공의 심리가 잘 표현된 훌륭한 작품!! 하루 스트리밍, 다음날 다시 스트리밍,,,두번 보았네요. 음악과 영상미가 좋다 또 볼듯 합니다."
모가디슈,gold****,10,이걸 해내는 감독이 한국에 몇 있을까 싶다
모가디슈,such****,10,연출이 대단해요스릴이 적당해서 좋았어요마무리도 딱 시대에 맞게 아주 좋았어요
최종병기 활,dbfl****,10,
보스 베이비 2,xodl****,2,재미도 없고 감동도 없도 기괴하고 너무 폭력적이였음 평점 믿었다가 시간 낭비 ㅜ
모가디슈,jjaa****,10,스토리 진행 인물설정 마지막여운까지 정말 잘봤습니다.
블러드 레드 스카이,ko25****,10,테러와 좀비를 조화시킨 영화..난 지금까지 본 좀비물 중에 제일 재밌었음 러닝 타임이 좀 길긴한데 어차피 넷플 영화니까
아들의 이름으로,zzoi****,1,어째 안팔리는 영화감독들은 죄다 좌빨인지 원
인턴,dogb****,10,감동적이고 끝나기 원하지 않았던 영화였습니다 정말 추천해요!!
골든슬럼버,wc23****,10,왜 이리 평점이 낮지?연출이나 스토리 전개가 살짝 어색한 맛도 있었지만난 긴장감 있게 너무나 재밌게 봤는데...근디 재미 없었다는 사람들이 꽤 많네개인적 차이일까?  아님 내가 비정상일까?왠만하면 평점 안 남기는네 예상외로 재밌게 봐서평점 남김
어벤져스: 엔드게임,joye****,10,
어벤져스: 엔드게임,joye****,10,
모가디슈,rkdt****,4,리뷰에 속았네요액션 많은거 좋아하시는분들은 비추요말이 많고 총질만 해대요
모가디슈,bbys****,10,
발신제한,kimy****,2,찡찡대는 캐릭터들 너무 많아.짜증유발영화
모가디슈,xogn****,10,내전의 참상을 진짜 잘 표현한듯
크루엘라,siel****,10,크루엘라. 내 인생영화.
모가디슈,bigm****,10,이제는 깊은맛. 류승완 감독 또한번 진화
정글 크루즈,phea****,5,아동용 캐리비안 해적 느낌.
보스 베이비 2,madc****,10,보스베이비 5번 관람했습니다 보스베이비는 귀여워요 떡밥 몇개 뿌렸는데 테드가 쇠고랑 두번 찰 수 없다는거 (한번 횡령죄 이런걸로 감옥갔나봄) 마지막에 타비사 엄마가 베이비나라에 대해서 알게됬는데도 정신이 멀쩡함...; 테드도 어른이되서 베이비나라에 대해서 쪽쪽이빨고 알게됬는데도 정신멀쩡한거 보면 타비사도 어릴때 베이비보스요원이지 않았을까 예상 티나가 '가업'을 잇는다고도 말했어서 단순히 테드보고만 그랬을까 싶음. 또 그 활달하면서 상상력이 풍부한 팀이 학교다닐땐 머저리나 얼간이 너드?같은 별명이 있었다는게 좀 의외 ㅠㅠ
정글 크루즈,lk13****,8,유머 스릴 여러가지 골고루 느꼈어요
모가디슈,ksh7****,10,연기좋고 실화바탕이라 좋고
모가디슈,jh95****,8,킬링타임용 영화. 큰 재미가 있는것도 아닌 반면에 그렇다고 지루한영화도 아닌 지루해지기 전 정도의 재미랄까. 영화관에서 볼만은 하다. 평점 7.8점정도 주고싶음
정글 크루즈,dgf1****,9,웃음코드 너무 잘맞고 영화관 분위기도 업업되있고 ㅋㅋ
보스 베이비 2,word****,1,전작에 비해 너무 실망스럽습니다 일본어 남발도 뜬금없구요 평점을 믿으면 안된다는 생각이 드네요
모가디슈,hwtt****,2,재 미 없 음..tv에서 방영하면 한번 볼 만한..
모가디슈,b3sc****,10,캐스팅부터 시작해서 뭐하나 흠잡을 게 없다..
모가디슈,pdp2****,10,전체적으로 다 괜찮았던 영화
모가디슈,ggna****,9,역시 류승완 감독님 연출력 대단합니다
모가디슈,wing****,6,조인성 김윤석 허준호를 데려다놓고.. 이정도밖에 안되는영화....
모가디슈,ampe****,10,간만에 수작이다 ! ㅅㅅㅅ 류승완 역시 믿고보는 감독 조인성 안시성때 실망했는데 연기 엄청 늘었고
모가디슈,fata****,10,영화에 집중하다보니 그냥 더위순삭ㅋㅋㅋ 또봐야징
광복절 특사,phea****,5,꼬이는 교도소 탈출
모가디슈,jfju****,9,꼭 다들 보셧으면 하는 내용이네요 ..ㅎ
모가디슈,8zgw****,10,멋진영화! 응원합니다!!
모가디슈,sata****,10,여름엔 역시 이런 스케일 영화 봐줘야함 진짜 오랜만에 스케일 큰 영화 봤다
모가디슈,akpl****,9,지루한 순간 없이 재밌게 잘 봤네요~
정글 크루즈,sdrx****,9,보는내내 눈을 뗄 수가 없음ㅋ
모가디슈,ifp1****,2,모가디슈 많이 보숑 보숑
크루엘라,biof****,7,
모가디슈,welc****,10,어제 남편과 함께 보고 왔어요 뭐하나 흠잡을게 없는 영화입니다연기자들 스토리 지루한지 모르게 관람하고 왔어요 남편은 다시한번 더 보고싶다네요^^
컨저링 3: 악마가 시켰다,redj****,5,ㅜㅜ 컨저링 시리즈중 최악. 넘 지루하고 무섭지도않고.퇴마보다는 수사에 초점을 맞췄다
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,alsa****,10,내 나이 32살... 울었다....
방법: 재차의,zeka****,10,재밌었음.가족 모두 재밌다고~ 드라마 안봤는데 정주행할거예요.
모가디슈,khjj****,6,저는 중간에 살짝 지루했어요...
1917,ysd2****,10,OST 나 연출 좋았어요이건 꼭 극장에서 봐야합니다.
엠마,1588****,9,오만과 편견 생각이 나네요...진짜 저런 사랑 해보고싶다...
스타 이즈 본,vip_****,10,이제 본게 한스러울 정도로 최고
정글 크루즈,a5jf****,9,유쾌하니 넘 재밌었어요
방법: 재차의,2nom****,10,기대안하고봤는데..생각보다 진짜 재밌었음^^
모가디슈,kck0****,7,그냥 그저그럼. 볼만한 정도는 됨
모가디슈,dksk****,10,믿고 보는 류승완 감독!!!
모가디슈,sn96****,1,네이버 또 평점 왜이러냐... 이거 진짜 너무 재미없는데? 북한억지영화
방법: 재차의,dy13****,4,"좋은 연기자들 데려다가 스크린 호흡이 아닌 브라운관 호흡으로 연출한 일차 미스, 극초반부터 저려오는 범인은 쟤다라는 뻔한 반전, 드라마 cg를 무비스크린에 그대로 사용한 저급함, 되살아난 시체라는 컨셉으로 좀비도 악귀도 아닌 어중간한 포지션, 빌런이 없이 빌런을 잡는 권선징악, 초반 추격전을 제외하면 단 이틀만에 빌런을 찾아내야 한다는 악밥감으로 쉴새없이 몰아쳐야 하는 극 전개를 단순 시간상의 서사로 풀어낸 전형적 일일드라마식 연출, 극의 가장 중요한 주인공의 미숙한 연기호흡과 그로인한 분량의 부재, 로코에 어울리는 메인 주인공의 어색한 긴박한 연기, 조연들의 임팩트 없는 연기 기타등등 OCN 특별 드라마를 극장서 돈주고 본 느낌, 몇해전 안성기, 박서준 주연의 사자를 보고 느낀 아 이런 영화구나하는 느낌을 다 배제하고 보면 그래도 변신인지 OO인지보다는 볼만한 영화."
시동,ovra****,10,
정글 크루즈,gd2g****,8,생가보다 재미있어용ㅋㅋㅋ
모가디슈,edit****,10,"성황리에 개봉했네여 기달렷는데.. 엽집에서 하도 보라해서 이틀 전에 봤는데 형이랑 저랑 넋놓고 봤습니다 ㅎㅎ 고생끝에 낙이 있다고 류승완 감독 고생하신듯요. 마마 우정출연해서 알게됐는데 작품성도 굿굿 워 독, 행오버 같은 코믹물 좋아했는데.. 요거계기로 액션 첩보물 좋아하게 될듯요 ㅋㅋ"
시동,cjda****,10,
정글 크루즈,9xyk****,10,영화 진짜 핵꿀잼 꼭 보세요ㅠㅠㅠ
모가디슈,skad****,10,연기자들 전부... 최고로 연기잘함 영화관에서안자고 몰입해서 눈하나 안깜빡하고 본영화
트랜스포머,hbsh****,10,어릴때 봤었지만 지금까지도 인생영화다
킬러의 보디가드 2,1111****,6,선을 넘었네...1편같은 코믹이 딱 적당한데...이건 머 3류 코디미가 돼버렸네...
블랙 위도우,pooh****,4,기존 마블 영화 중에서 재미가....
지푸라기라도 잡고 싶은 짐승들,mayt****,10,초반에 어수선 하다가 전도연 등장 후로 영화가 바뀜.전도연이 살린 영화...
보스 베이비 2,isur****,10,8살 아들이랑 보러 갔는데 너무 재미있고 감동적이네용 아들도 재미있었다네요
영화판,mrle****,10,"한국영화는 한국사람들에게 헤아릴 수 없는영향을 끼친다.무의식이나 의식에.소중히 여기고, 아끼고 지원해야 한다는 것을알겠다..전개가 빨라서 지루하지 않았다."
정글 크루즈,pj5j****,10,나 이거 디즈니랜드에서 타봣는데ㅠㅠㅠ디즈니랜드 가구싶다
모가디슈,dksa****,10,2번봐도 재밌는 영화ㅎ
블랙 위도우,3000****,10,블랙위도우는 충분히 더 나올수 있었는데..
모가디슈,shn0****,10,몰입감 있네요..앤딩부분의 이태리대사관 앞 백기들고 나갈땐 가슴 뭉클..ㅜ
모가디슈,kore****,10,오랜만에 아주 좋은 영화 보고왔어요^^
방법: 재차의,jdc7****,10,너무나 신선하고 재미있는 영화. 기대이상의 스토리.
모가디슈,bfwk****,10,배우들 한분한분 연기 넘 잘하고 영상도넘 멋있게 찍은게 보입니다고생많았을텐데 영화잘봤습니다마지막에 분단국가의 슬픔을 표현했는데가슴이 찡했습니다 여러모로 훌륭한 영화입니다
CCTV,artb****,2,안봤습니다만...괃도원씨 이런 영화는 애초에 거부하는거에요..이름에 오점 남겨요..ㅋ
모가디슈,qkrw****,10,배우들이 연기를 너무 잘했고 보는내내 긴장하면서 봤네요  평점이 좋아서 봤는데 평점이 좋을만하네요 재미있었어요!
코코,jasm****,10,노래만 들어도 왜이렇게 먹먹하고 눈물이 나는지 몇번을 봐도 너무 감동적이다노래때문에 계속 보게 되는 진짜 최고의 에니메이션?
모가디슈,rlad****,8,재밌어요~~~믿고보는 배우들
블랙 위도우,fare****,2,블랙위도우를 이렇게 망쳐놓을수 있나 싶다..
정글 크루즈,pgkq****,8,디즈니라서 믿고 보게 됩니다
모가디슈,whdr****,6,오늘 보고 왔습니다. 저는 좀 지루한편이었습니다.긴장감도 별로없었고 액션신은 거의 없고요좀 기대이하였습니다.북한과 남한의 공조도 뻔한 스토리였고요.결국 볼건 조인성 뿐이었어요어떤분들 리뷰에서 차량 추격씬이 최고였다하길래영화보는내 뭐지 뭐지? 했는데어... 추격신이면 저거말하는건가? 하는실망감..너무 기대한 저의 잘못그래도 해외에서 이 정도 스케일까지찍을수 있구나 라는 감탄은 나왔습니다.
제8일의 밤,soy8****,8,인간사 번뇌와 번민의 철학을 알게하는 영화
정글 크루즈,hgqq****,9,진심 꿀잼이네요ㅋㅋㅋ 웃겨 죽는줄ㅋㅋ
정글 크루즈,zawr****,10,보는 내내 시간이 어떻게 가는지 모르게 정말 재미있게 봤습니다
방법: 재차의,neo2****,8,드라마 완주 못 해도 영화보는데 지장 없습니다 그러니 걱정말고 보세요...잼납니다   ㄹㅈ 보다  몇배 재미집니다 만드신분들에게는 죄송하지만..
방법: 재차의,neo2****,8,드라마 완주 못 해도 영화보는데 지장 없습니다 그러니 걱정말고 보세요...잼납니다   ㄹㅈ 보다  몇배 재미집니다 만드신분들에게는 죄송하지만..
모가디슈,wngu****,10,진짜 끝없이 긴장감 넘치게 봤습니다~
모가디슈,jo44****,8,아프리카에서의 연출력은 정말 탁월.. 시위장면이나 군중의 데모 장면은 정말 리얼리티가 살아있습니다. 그부분에서는 10점이나 끝부분에 약간의 스토리가 아쉽습니다. 그리고 차 추격신은 조금 유치했습니다. 그래서 8점
모가디슈,wjda****,10,요즘 무료한 일상에 영화를보게된것만으로도 기뻤는데내용도 지루한틈없이ㅡ재미있고 알차고감동까지 더 많은영화가 상영되길바라며코로나 이겨냅시다*^^* 화이팅입니다
비거 스플래쉬,skyk****,10,틸다 스윈튼 랄프 파인즈  그걸로 되었다
보스 베이비 2,giyu****,10,아이들과 맘껏 웃다가 갑자기 돌아가신 아빠가 보고싶을정도로 감동이 몰려왔어요. 가족의 사랑이 듬뿍 담겨있어 오래 오래 기억될거예요.
시동,thdg****,8,"티비로 시청 했어요, 오랜만에, 완성도 높은 영화 보네요..^^ 재미와 감동 어디하나 모자랄게 전혀 없었구요. 하지만, 다른분들 처럼, 후반 끝에가 .... 쪼금 아쉽긴하네요...ㅎㅎ 반전을 기대 했을수두^^"
모가디슈,tyu6****,10,영화 진짜 잘만들엇음 꼭보세요 ㅎㅎ
모가디슈,s731****,1,"전형적인 조작, 선동 영화"
브라이트,jaso****,2,보지마세요~눈버립니다~ 어두워서 분간도 안가고 욕만 나오네요~ 가끔 이렇게 일부러 깜깜하게 찍는 감독은 퇴출되야함...
모가디슈,ja96****,10,와 영화 실감나게 잘만들었네요 배우들 연기도 다잘하고 정말 짱 재밌네요
정글 크루즈,hang****,10,극장으로 떠나는 아마존 휴가
안나,kino****,9,그나저나 왜 배경을 1990년으로 했을까
방법: 재차의,hyun****,2,노잼...영화같진 않고 드라마같다 택시 카체이싱은 장면은 인정. 근데 그거보자고 돈주고 보기엔 ..9점 영환 아니라서 1개드림
모가디슈,hotg****,10,코로나 시국에 답답했는데 정말로 재미있게 봤습니다.감사합니다
골드,whyf****,8,기대 1도 안하고 본 영화인데 예상을 뛰어넘게 재미있었습니다.매튜 맥커너히의 배불뚝이 탈모인 열연은 보너스~
방법: 재차의,merr****,10,오랜만에 재밌는 영화 봤어요 추천합니다 !!
모가디슈,anbu****,1,댓글 알바에 당했네 ㅋㅋㅋㅋ
행복을 찾아서,kbj0****,10,"윌 스미스의 연기는 말할 것도 없고, 제이든 스미스의 연기도 훌륭하다행복에 대해 생각해보게 하는 매우 좋은 영화 연출과 스토리가 훌륭하다"
정글 크루즈,kfgr****,9,배우들 연기가 너무 좋아서 몰입해서 볼 수 있었음
레이니 데이 인 뉴욕,2suw****,7,"어딘가 스토리 라인이 홍상수 감독의 영화가 생각나게 하는...예술한답시고 어린 주인공에게 치근덕거리는 자조적인 분위기라던가 비오는 뉴욕, 재즈, 낭만, 티모시는 우디앨런의 전작 영화들과 결을 같이 한다"
모가디슈,jjaj****,7,긴장감 있을 뻔. 김윤석이 제일 좋았음. 영화적 재미로만 놓고 봤을 때 높은 평점을 주기에는 좀 부족함
정글 크루즈,srjn****,10,재미있게 본 영화였네요~~^^
모가디슈,taez****,10,진짜 잼남 추천 한국 영화 중 역대 스케일
정글 크루즈,jf41****,10,난 캐리비안의 해적보다 훨씬 재밌다 ㅋㅋ
보스 베이비 2,pmch****,10,감동스럽고 진짜 재밌었다
모가디슈,dmlr****,10,군함도 테러한 한국에사는  왜구들 보고있냐 ...대한민국 감독의 힘
어느 가족,movi****,8,가짜 가족들이 모여서 진짜 가족으로 사는게 더 진짜 같은 가족 ..마무리가 아쉽지만 잔잔한 연출과 연기력에 만족합니다
은혼 더 파이널,kth5****,10,해결사여 영원하라 ㅜㅜ
모가디슈,xotk****,10,"연출이 좋고, 김윤석,조인성,구교환 여기도 맛깔좋게 봤고, 탈출이란 소재도 참신해서 재밌게 봤네요..."
컨테이젼,qora****,10,10년전이미 예언했구나....
모가디슈,coma****,4,"블랙호크다운의 역사적 배경이 되었던 1991년 소말리아 내전을 바탕으로 한 한국영화입니다. 일단 류승완 감독 작품 치곤 정치색을 절제하려는 티가 유독 돋보이더군요. 블랙호크다운같은 느낌을 기대하신다면 그거엔 한참 못 미치지만, 중간중간 연출되는 긴장감과 후반부 자동차 체이싱은 꽤나 자금을 투입한 여력이 느껴지더군요. 나름 훌륭한 퀄리티였습니다. 자동차 추격씬은 실화라는 정보를 알고 미리 쫄깃한 맛에 봤습니다 전작으로 인해 많이 데인 감독의 경험이 반영된 탓일까, 고증에 꽤나 심혈을 기울인 것 같습니다 완전하진 못하지만, 정치적 상황이 남북관계가 악화돼 있는 걸 고려하면 마무리까지 봤을 때 어설픈 한국신파와 동포애 대신 보다 휴머니즘적인 전개가 강조되어 좌파적 헤게모니에 반감이 있으신 분들도 어느 정도 감안하고 보실 수 있으리라 생각됩니다 코로나 시국이 아니었다면 좀 더 흥행했을 영화일 듯 싶습니다"
정글 크루즈,kqfn****,8,오랜만에 즐거웠던 시간ㅋㅋㅋ
방법: 재차의,kkj1****,2,평점보고 봤다가 낭패 비추천
랑종,outk****,7,선입견인지 모르겠지만 직접 연출했었으면 어떨까 싶음. 연출에서 너무 촌스러웠던게 여러가지 불편한 장면들을 더 극대화한듯.
모가디슈,ange****,10,천만관객의꿈도꿀수있는영화입니다. 배우들의훌륭한연기와훌륭한연출이돋보입니다.
콰이어트 플레이스 2,ty20****,8,1편의 신선함과 공포스러움이 다소 줄었지만 그래도 재미있었어요. 1편은 집에서~ 2편은 영화관에서 혼자 봤는데 스릴러영화라서 긴장했지만 스릴이 1편에 비해 줄어서 안심이 되기도 하고 아쉽기도 했습니다.
모가디슈,dhan****,10,굳굳굳  이런  ~~~~최고다  작감배 모두
스파이,newe****,10,생각없이 보기 딱좋아요 웃기고 재밌네요
정글 크루즈,lhfj****,10,가족들끼리 봐도 무리없고 친구들끼리 봐도 무리없이 재밌을 영화
워 위드 그랜파,hyon****,10,재밌게보기 너무 괜찮아요 소소한 웃음 가득
모가디슈,kjw9****,8,"류승완 감독의 작품이고 조인성,김윤석 주연의 영황여서 기대를 많이하고 본 영화입니다 무더운 한여름에 시원하게 재밌게 봤습니다 올여름 첫  블록버스터 한국영화이고 보조출연자수나 차 추격신이나 해외 모로코 촬영 등으로 제작비도 많이 든거 같은데 실화를 바탕으로 만든영화이고 그 시대상황을 영화로 간접경험 할수있어서 좋았습니다 올여름 에어컨 나오는곳에서 시원하게 재밌게 영화볼분들은 추천합니다 마지막신에는 감동도 있습니다 한국영화 화이팅 ~~~"
모가디슈,hanj****,10,분단의 아픔을 잘 표현한듯...이념을 떠나 인간성넘 감동 연출과 연기자들의 연기 다 좋았습니디ㆍ전쟁의 비참한 모습
치즈인더트랩,john****,8,오영택이었나? 개극혐
방법: 재차의,dudn****,6,나만 별로엿나...? 좀비가 떼루 운전하고;; 아니 운전할 지능이면 엘베도 타잖아 왜 줴다 계단으로 가냐 그리고 흑막이 뻔한거같았어요. 그리고 왜 임상실험해서 사람을 죽인건지? 통신사 할인으로 봐서 다행.... 별점이 높은 이유는 나만 죽을 수 없다는거같은 이유로 준거같아요;;; ㄹㅈ 안봤지만 ㄹㅈ이 선녀다
모가디슈,rkdw****,10,진짜 재밌어요.! 기대 안하고 봤는데 ㅠㅠ
모가디슈,wlst****,10,조인성씨 연기에 다시한번 놀랍니다 진짜 잘하네요 ㅠㅠ
분노의 질주: 더 얼티메이트,tlff****,10,분노의 질주는 무조건 재밌어요....ㅎㅎ
모가디슈,blue****,10,시간기는  줄 모르고 봤네요과하지도 부족하지도않아서 좋았습니다
정글 크루즈,wu4m****,8,이정도면 오락영화로 충분히 볼만함
모가디슈,rasp****,10,실제 상황처럼 느껴지는 것처럼 실감나게 만드는 영화였어요~!!!
정글 크루즈,xeri****,10,처음부터 끝까지 놀이기구 타는 기분이네요!! 너무 재밌게봤어요!!
정글 크루즈,lney****,8,액션 어드벤처의 묘미를 그대로 느낄 수잇음
모가디슈,beau****,10,군더더기가 없네요 좋은 영화
더 레치드: 악령의 저주,spac****,1,답답한 전개 억지 반전유도 짜증스럽네요ㅎ
정글 크루즈,aren****,10,엄청나게 재밌습니다 꼭 보세요!
블랙 위도우,love****,10,블랙위도우의 액션종합선물
정글 크루즈,rlar****,10,캐리비안의 해적 향수가 느껴진다. 그리고 에밀리 블런트 미모.. 폭발
발신제한,love****,10,
햄릿 2000,marq****,8,문학청년(?) 샘 셰퍼드와 에단 호크의 만남.
정글 크루즈,vppi****,8,시간가는지 모르고 봤어요 ㅎㅎ
정글 크루즈,kc2v****,10,좋았어요 동심으로 돌아간 기분이랄까^^
정글 크루즈,gzpo****,9,디즈니 영화는 항상 재밌게 본 사람이라서 그런지 재밌었음
정글 크루즈,eqsu****,9,오랜만에 꿀잼영화 보고 갑니다
모가디슈,ky60****,6,솔직히 좀 시시함...예고만 봐도 영화 다봤다 말해도 되는 영화?
정글 크루즈,6zkc****,10,진짜 상상 이상으로 재밌었다..
정글 크루즈,rkjb****,10,역시 정글크루즈ㅜㅜ 기대하고 봤는데 기대이상!!
범죄의 여왕,iyoo****,10,줄거리 요약해놓은 글 보고 재미있을 것 같아서 봤는데 진짜 재미있음ㅎㅎ
모가디슈,leot****,10,류승완이 악마한테 영혼을 판 수준
랑종,cycl****,3,여배우분이 연기를 너무 잘하시네요! cctv씬에서 놀란거 말고는 딱히 기억에 남는게 없는거 같아요
월요일이 사라졌다,shbj****,10,개꿀잼입니다진짜재밋늠
캐시트럭,alpa****,8,좀지루하지만 국산영화보다 재미있다
랑종,beli****,2,ㅈ 같이 노잼 돈버리고 자다옴
정글 크루즈,park****,8,나도 정글크루즈 타고싶당 ㅋㅋ
소년시절의 너,fore****,10,내가 딱 한 영화만 볼 수 있다면 고를 영화
정글 크루즈,ukz0****,10,좋습니다 좋아요 굿굿
용서는 없다,hboy****,8,오오 잼난다요... 기대 안하구봄...볼만함~~~ ㅋ  계획이 좋았네 승범이.
정글 크루즈,tyqp****,8,재밌어요~ 한번쯤 시간 나시면 보세요~
모가디슈,bina****,8,한국판 아르고난 오히려 추격전이 영화 몰입도를 떨어뜨린다고 생각함차에 총알이 그렇게 많이 박혔는데..
정글 크루즈,whhw****,8,엘도라도+미이라 느낌의 영화킬링타임용으로 좋고 재미있게 잘봤어요!
모가디슈,agap****,10,"극장에서 보세요. 연기, 스토리, 액션 뭐 하나 아쉬운게 없네요."
캐시트럭,gyeo****,6,킬링타임. 기대하면 후회함.
정글 크루즈,simu****,10,와 진짜 액션이랑 스케일 쩐다 드웨인 존슨은 걍 말해뭐해고 에밀리도 하...둘이 케미도 장난 아님ㅠ0ㅠ 투디로 봣는데 주말에 아맥이나 포디 갈겨야겟음
모가디슈,hjpa****,4,그다지 싫어하는 감독 없었는데 오늘 생겼다
정글 크루즈,t5mx****,10,주위사람들에게 폭풍 칭찬중ㅋㅋ 꿀잼ㅋ
정글 크루즈,0ymi****,10,기대하고 봤는데도 존잼임 안 본 사람들은 꼭 보시길
정글 크루즈,fkzn****,1,"이제 디즈니 기본 요소는 PC인듯. 스토리와 개연성 없는 페미니즘, 동성애 요소를 굳이 집어넣으니.. 안그래도 뻔하고 식상한 스토리에 이념까지 버무려놨으니 지루할따름. 이제 디즈니는 믿거해야하나."
모가디슈,seoy****,10,
"그날, 바다",ljj9****,10,답을찾은거같아요그러나그걸왜정부가숨기려고했을까요...
모가디슈,rhah****,1,좋은 소재이지만 굳이 북한 요소를 끼워넣었어야 했나 싶다.. 제작자의 의도가 다분히 보임
모가디슈,junn****,8,기대 이상으로 재미있는 영화
모가디슈,yung****,7,"신파를 자제한 휴머니즘 탈출기, 북한과의 앙상블은 글쎄.."
모가디슈,diet****,10,갓승완 갓인성 갓아저씨들들들.스토리도좋지만연기가좋았어욪
정글 크루즈,kcjd****,4,스토리가 없이 만들면 돈 되겠지 하고 수제품이 아닌 공산품 만들어낸 느낌 cg 기술로 떡칠 한다고 다 되는건 아니란걸 느낀다
랑종,lys2****,3,그냥 하품하면서봤습니다. 컨져링3의 실망을 뛰어넘은 한심한작품이였습니다.
모가디슈,deuk****,10,코로나시대에 접어들면서 볼만한 영화가 많지 않았는데 오랜만에 긴장감과 가슴찡한 좋은 영화 보고 왔습니다.
정글 크루즈,supr****,6,음 걍 인디아나존스 킹콩 17미터 쥬만지 뭐 이것저것 섞어놓은 느낌? 개인적으로는 지루함
정글 크루즈,gaga****,7,"정말 재밌었음. 보는 내내 지루함을 느낄 수 없을정도였지만, PC냄새가 슬슬나더니, 마지막은 PC로 장식하면서 마무리. 역겨워서 -3점"
모가디슈,okba****,10,못처럼 영화관에 가서 스릴과 찐한 감동이과 웃음거리가 있는 영화입니다. 다시 한번다 보고 싶어요
블랙 위도우,junn****,5,그냥 그럭저럭한 킬링타임용 영화...
모가디슈,6887****,10,대박나슈! 모가디슈! -대전 가오옹에서_ -
2012,bung****,7,"고대 마야인들의 예언대로 지구멸망의 해인 2012년이 다가오자 인류멸망을 대비해 세계정부가 비밀계획을 세우게 되고 이를 알아차린 주인공이 가족을 구하기 위해 생존의 사투를 벌이는 이야기를 담은 액션, 드라마, 스릴러, SF, 모험영화다. 롤랜드 에머리히감독하면 SF, 액션영화를 주로 연출하는 감독인데 본블로그에서 소개핸 2019년의 '미드웨이'를 제외하면 내가 알고 있는 영화의 대부분은 거의 그런 영화다. 1994년 커트 러셀주연의 '스타게이트', 1996년 윌 스미스주연의 '인디펜던스 데이', 2004년 제이크 질렌할주연의 '투모로우', 2008년 10,000 BC, 2016년 '인디펜던스 데이: 리써전스'가 대표적인데 이영화는 2004년 투모로우의 후속작으로 감독, 각본, 제작까지 참여한 재난블록버스터영화다. 이영화를 이미 2009년에 개봉하고 2013년에 재개봉한 영화로 영화관에서 보고 이번에 두번째로 보는 영화인데 이미 종결난 인류종말의 영화를 왜 다시 보느냐는 의견이 있을테지만 세상이 끝난다면 아마도 이런 모습이지 않겠느냐는 2009년 당시의 생각과 지금의 생각에는 변함이 없기 때문이다. 바이러스로 인해서 인류가 멸망할거라는 경고를 주는 영화도 있었고 외계침공으로 인류가 멸망할거란 영화도 있었고 이영화와 같이 지구환경의 변화로 지구가 멸망할거란 영화도 있었다. 어떤 형태로든 지구는 지금도 인간에게 경고의 메세지를 던지고 있는 마당에 당시에 느꼈던 감상포인트와 지금의 감상포인트를 비교해 보는 것도 나쁘지 않다고 생각했다. 그리고 무엇보다 끝이란 시작을 의미하는 것이므로 세상이 끝난다면 어떤 기분이 들까하는 막연한 생각도 영화를 보게 되는 이유였다. 물론 2009년에 본 감상과 지금의 감상은 분명 격세지감이 있다. 하지만 지금 바이러스 세계대유행의 시대에서 보면 인류멸망의 경고를 보낸 수많은 영화가 그저 판타지 SF영화로만 보이지 않는다. 이영화를 본 당시엔 정말이지 2012년에 지구가 멸망할"
모가디슈,sanh****,10,
방법: 재차의,jiwa****,6,"많이아쉬운.,,드라마느낌물씬나는전개..연기"
랑종,sdm1****,10,보고나서 와 이런거 왜 밧지 찝찝하고그날 저녁못먹고 잘때 불키고잠아직도 씨씨티비 장면과 강아지 아기 씬은... 너무무서움...
모가디슈,audw****,10,"조인성님 웃으면서 첫 등장할때 나도 모르게 씩 웃었다,,,ㅎㅎ 재밌게 잘 봤어용"
모가디슈,yuzu****,10,"오늘 봤는데 넘나 재밌었어요. 억지 눈물도 없고 영상미, 추격신, 배우들 연기 좋네요~~"
모가디슈,kimt****,10,연출진과 배우 분들이 고생하고 촬영했겠네요. 영화 잘 봤습니다. 재미있습니다.
방법: 재차의,ahdt****,9,재밌게 봤습니다...볼만합니다~~~ 잔잔하게  슬픈 여운
모가디슈,lss8****,10,내 인생 최고의 영화였다
갈매기,qhfk****,10,여자가 거부하지 않으면 성폭력은 생기지 않는다는 말도 안되는 말이 널리 퍼져 인식이 꼭 바뀌어지길 바랍니다. 생각하지 못했던 부분을 생각하게 해주는 영화였습니다b
"우리, 둘",jhw8****,10,세상이 우릴 버려도 우리 둘은 함께 하자. 나는 그것만으로도 만족해.
